"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT","FA","ID","MS","TL","VI"
"TID_BUILDING_LABORATORY","Laboratory","Laboratoire","Labor","Laboratorio","Laboratorio","Laboratorium","Laboratorium","Laboratório","Laboratuvar","ラボ","实验室","연구소","Лаборатория","معمل","實驗室","آزمایشگاه","Laboratorium","Makmal","Laboratory","Phòng thí nghiệm"
"TID_TRAP_BOMB","Bomb Trap","Piège à bombe","Bombenfalle","Trampa bomba","Trappola bomba","Bomval","Bombefelle","Armadilha de Bomba","Bombalı Tuzak","爆弾","隐形炸弹","폭탄 함정","Бомба-Ловушка","فخ القنبلة","隱形炸彈","تله بمبی","Jebakan Bom","Perangkap Bom","Bomb Trap","Bẫy Bom"
"TID_TRAP_EJECT","Spring Trap","Piège à ressort","Sprungfalle","Trampa con muelle","Trappola a scatto","Veerval","Sprettfelle","Armadilha de Mola","Yaylı Tuzak","ばねトラップ","隐形弹簧","점핑 트랩","Ловушка-пружина","فخ الزنبرك","隱形彈簧","تله فنری","Jebakan Pegas","Perangkap Spring","Spring Trap","Bẫy Bật"
"TID_TRAP_TIMETRAP","Time Trap","Bombe à retardement","Zeitfalle","Trampa de tiempo","Trappola a tempo","Tijdval","Tidsfelle","Armadilha de Tempo","Zaman Tuzağı","タイムトラップ","时间陷阱","시간 함정","Часовая Ловушка","فخ الوقت","時間陷阱","تله زمانی","Jebakan Waktu","Perangkap Masa","Time Trap","Bẫy Hẹn giờ"
"TID_BUTTON_SPEEDUP","Finish Now","Terminer","Jetzt beenden","Terminar ya","Completa ora","Nu voltooien","Fullfør nå","Concluir agora","Şimdi Bitir","今すぐ完成","立刻完成","즉시 완료","Заверши Сейчас","إنهاء الآن","立即完成","اکنون تمام شود","Selesaikan Sekarang","Selesai Sekarang","Tapusin Na","Kết thúc ngay"
"TID_BUTTON_UPGRADE","Upgrade","Améliorer","Verbes-\nsern","Mejorar","Migliora","Upgraden","Oppgrader","Melhorar","Yükselt","アップグレード","升级","업그레이드","Улучшить","ترقية","升級","ارتقا","Tingkatkan","Naik taraf","I-upgrade","Nâng cấp"
"TID_BUTTON_ATTACK","Attack!","Attaquer","Angriff!","Atacar","Attacco!","Aanvallen!","Angrip!","Atacar!","Saldır!","攻撃","进攻！","공격!","В бой!","هجوم!","攻擊！","حمله!","Serang!","Serang!","Atakihin!","Tấn công!"
"TID_BUTTON_SHOP","Shop","Magasin","Shop","Tienda","Negozio","Winkel","Butikk","Loja","Dükkan","ショップ","商店","상점","Магазин","المتجر","商店","فروشگاه","Toko","Kedai","Shop","Cửa hàng"
"TID_BUTTON_SELL","Sell","Vendre","Verkaufen","Vender","Vendi","Verkopen","Selg","Vender","Sat","売る","出售","판매","Продать","بيع","賣出","فروش","Jual","Jual","Ibenta","Bán"
"TID_BUTTON_CANCEL","Cancel","Annuler","Abbrechen","Cancelar","Annulla","Annuleren","Avbryt","Cancelar","İptal","キャンセル","取消","취소","Отмена","إلغاء","取消","لغو","Batal","Batal","I-cancel","Hủy"
"TID_BUTTON_TRAIN","Train Troops","Former","Truppen ausbilden","Entrenar","Addestra truppe","Troepen trainen","Tren soldater","Treinar Tropas","Birlik Eğit","ユニットの訓練","训练部队","유닛 훈련","Тренировать Войска","تدريب القوات","訓練部隊","آموزش نیروها","Latih Peleton","Latih Askar","Mag-train ng mga Troop","Huấn luyện Binh línhh"
"TID_BUTTON_COLLECT","Collect","Récupérer","Sammeln","Recoger","Prendi","Verzamelen","Samle","Coletar","Topla","回収","收集","저장","Собрать","جمع","收集","جمع‌آوری","Ambil","Kumpul","Kunin","Thu thập"
"TID_BUTTON_INFO","Info","Infos","Info","Infor.","Info","Info","Info","Info","Bilgi","情報","信息","정보","Информация","معلومة","資訊","اطلاعات","Info","Maklumat","Impormasyon","Thông tin"
"TID_BUTTON_CLEAR","Remove","Supprimer","Entfernen","Eliminar","Rimuovi","Verwijderen","Fjern","Remover","Kaldır","取り除く","移除","제거","Удалить","إزالة","移除","حذف","Singkirkan","Buang","Alisin","Xóa bỏ"
"TID_BUTTON_HOME","Return Home","Rentrer","Nach Hause","Volver","Torna al villaggio","Naar huis","Hjem","Voltar","Eve Dön","ホームに戻る","回营","돌아가기","Домой","العودة إلى الصفحة الرئيسية","回到主畫面","برگشت به خانه","Ke Beranda","Kembali ke Rumah","Umuwi","Trở về màn hình chính"
"TID_BUTTON_ACCEPT","Accept","Accepter","Annehmen","Aceptar","Accetta","Accepteren","Godta","Aceitar","Kabul Et","承認","接受","수락","Принять","قبول","接受","پذیرش","Terima","Terima","Tanggapin","Chấp nhận"
"TID_BUTTON_REJECT","Reject","Rejeter","Ablehnen","Rechazar","Rifiuta","Weigeren","Avvis","Recusar","Reddet","拒否","拒绝","거절","Отказать","رفض","拒絕","رد","Tolak","Tolak","Tanggihan","Từ chối"
"TID_BUTTON_SEND","Send","Envoyer","Senden","Enviar","Invia","Versturen","Send","Enviar","Gönder","送信","发送","전송","Отправить","إرسال","傳送","ارسال","Kirim","Hantar","Ipadala","Gửi"
"TID_BUTTON_JOIN","Join","Rejoindre","Beitreten","Unirse","Unisciti","Meedoen","Bli med","Participar","Katıl","参加","加入","가입","Присоединиться","انضمام","加入","پیوستن","Gabung","Sertai","Sumali","Gia nhập"
"TID_TAB_GLOBAL_CHAT","Global","Général","Global","General","Globale","Wereldwijd","Global","Global","Küresel","グローバル","公众聊天","전체","Глобальный","عالمي","公共聊天","جهانی","Global","Global","Global","Toàn cầu"
"TID_TAB_ALLIANCE_CHAT","Clan","Clan","Clan","Clan","Clan","Clan","Klan","Clã","Klan","クラン","部落内部","클랜","Клан","قبيلة","部落","قبیله","Klan","Klan","Clan","Hội"
"TID_OBSTACLE_TREE","Tree","Arbre","Baum","Árbol","Albero","Boom","Tre","Árvore","Ağaç","木","树","나무","Дерево","شجرة","樹木","درخت","Pohon","Pokok","Tree","Cây"
"TID_OBSTACLE_STONE","Stone","Rocher","Stein","Roca","Pietra","Steen","Stein","Pedra","Kaya","岩","石头","바위","Камень","حجر","石頭","سنگ","Batu","Batu","Stone","Đá"
"TID_OBSTACLE_BUSH","Bush","Buisson","Busch","Arbusto","Cespuglio","Struik","Busk","Arbusto","Çalı","やぶ","灌木","덤불","Куст","شجيرة","灌木叢","بوته","Semak","Semak","Bush","Bụi cây"
"TID_OBSTACLE_TRUNK","Trunk","Tronc","Stamm","Tronco","Tronco","Stronk","Trestamme","Tronco","Kütük","木の幹","树干","나무 기둥","Сухой Ствол","جذع","樹幹","تنه درخت","Batang Pohon","Dahan","Trunk","Gốc cây"
"TID_OBSTACLE_MUSHROOM","Mushroom","Champignons","Pilz","Setas","Fungo","Paddenstoel","Sopp","Cogumelos","Mantar","キノコ","蘑菇","꽃버섯","Гриб","فطر","蘑菇","قارچ","Jamur","Cendawan","Mushroom","Nấm"
"TID_DECORATION_BARBARIAN_STATUE","Mighty Statue","Grande statue","Mächtige Statue","Estatua de poder","Statua imponente","Machtig standbeeld","Storslagen statue","Estátua Poderosa","Dev Heykel","偉大なる像","万能神像","전사 동상","Могучая Статуя","تمثال عظيم","萬能神像","مجسمه عظیم","Patung Perkasa","Tugu Kekuasaan","Mighty Statue","Bức tượng Hùng tráng"
"TID_DECORATION_TORCH","Torch","Torche","Fackel","Antorcha","Torcia","Toorts","Fakkel","Tocha","Meşale","たいまつ","火把","횃불","Факел","كشاف","火把","مشعل","Obor","Suluh","Torch","Đuốc"
"TID_DECORATION_WHITE_FLAG","White Flag","Drapeau blanc","Weiße Flagge","Bandera blanca","Bandiera bianca","Witte vlag","Hvitt flagg","Bandeira Branca","Beyaz Bayrak","白い旗","白旗","하얀 깃발","Белый Флаг","علم أبيض","白旗","پرچم سفید","Bendera Putih","Bendera Putih","White Flag","Cờ Trắng"
"TID_DECORATION_SKULL_FLAG","Pirate Flag","Drapeau de pirate","Piratenflagge","Bandera pirata","Bandiera pirata","Piratenvlag","Sjørøverflagg","Bandeira Pirata","Korsan Bayrağı","海賊の旗","海盗旗","해적 깃발","Пиратский Флаг","علم القراصنة","海盜旗","پرچم دزدان دریایی","Bendera Bajak Laut","Bendera Lanun","Pirate Flag","Cờ Cướp biển"
"TID_DECORATION_FLOWERBOX1","Cornflower Bed","Plant de fleurs roses","Kornblumen-\nbeet","Macizo de acianos","Aiuola di fiordalisi","Korenbloembed","Kornblomster","Canteiro de Centáureas","Çiçek Tarhı","ヤグルマソウの花壇","矢车菊","국화 화단","Клумба Васильков","فراش من النبات البري","矢車菊","باغچه گل گندم","Petak Cornflower","Katil Cornflower","Cornflower Bed","Luống Hoa bắp"
"TID_DECORATION_FLOWERBOX2","Sunflower Bed","Plant de tournesols","Sonnenblumen-\nbeet","Macizo de girasoles","Aiuola di girasoli","Zonnebloembed","Solsikker","Canteiro de Girassóis","Ayçiçeği Tarhı","ヒマワリの花壇","太阳花","해바라기 화단","Клумба Подсолнухов","فراش من زهور عباد الشمس","太陽花","باغچه گل آفتابگردان","Petak Bunga Matahari","Katil Bunga Matahari","Sunflower Bed","Luống Hoa hướng dương"
"TID_DECORATION_WINDMETER","Weather Vane","Girouette","Windrad","Veleta","Segnavento","Weervaantje","Værhane","Cata-Vento","Rüzgar Gülü","風向計","风向标","풍향계","Флюгер","دليل اتجاه الرياح","風向標","بادنما","Kincir Angin","Mata Angin","Weather Vane","Chong chóng Gió"
"TID_DECORATION_DOWNARROW_FLAG","Rally Flag","Drapeau de rassemblement","Versammlungs-\nbanner","Bandera de reunión","Bandiera di raduno","Verzamelvlag","Samlingsflagg","Bandeira de Seta 1","Ralli Bayrağı","集合地点の旗","集合旗","하향 깃발","Флаг Сбора","علم السباق","集合旗","پرچم رالی","Bendera Penghimpunan","Bendera Perhimpunan","Rally Flag","Cờ Hội quân"
"TID_DECORATION_UPARROW_FLAG","Point Flag","Drapeau de positionnement","Richtungs-\nbanner","Bandera de dirección","Bandiera di posizione","Richtingvlag","Punktflagg","Bandeira de Seta 2","Nokta Bayrağı","重要地点の旗","点标旗","상향 깃발","Флаг со Стрелкой","علم الإشارة","點標旗","پرچم راهنما","Bendera Penunjuk","Bendera Mata","Point Flag","Cờ Mũi tên"
"TID_DECORATION_SKULL_ALTAR","Ancient Skull","Crâne ancien","Alter Schädel","Calavera antigua","Teschio antico","Antieke schedel","Gammel hodeskalle","Crânio Antigo","Antik Kafatası","太古のドクロ","古代头骨","고대 유물","Древний Череп","جمجمة قديمة","古代頭骨","جمجمه باستانی","Tengkorak Kuno","Tengkorak Purba","Ancient Skull","Sọ Cổ"
"TID_DECORATION_NATIONAL_FLAG","National Flag","Drapeau national","Landesflagge","Bandera nacional","Bandiera nazionale","Nationale vlag","Nasjonalflagg","Bandeira Nacional","Milli Bayrak","国旗","国旗","국기","Национальный Флаг","علم قومي","國旗","پرچم ملی","Bendera Nasional","Bendera Negara","National Flag","Quốc kỳ"
"TID_TIME_DAYS","d","j","d","d","g","d","d","d","g","日","天","일","д.","يوم","天","d","h","h","d","ngày"
"TID_TIME_HOURS","h","h","h","h","o","u","t","h","sa","時間","小时","시간","ч.","ساعة","小時","h","j","j","h","giờ"
"TID_TIME_MINS","m","min","m","m","m","m","m","m","d","分","分钟","분","м.","دقيقة","分鐘","m","m","m","m","phút"
"TID_TIME_SECS","s","s","s","s","s","s","s","s","sn","秒","秒","초","с.","ثانية","秒","s","d","s","s","giây"
"TID_BATTLE_TIME_TITLE","Battle ends in:","Fin de la bataille dans :","Kampf endet in:","La batalla acaba en:","La battaglia termina tra:","Gevecht eindigt over:","Kampen slutter om:","Batalha termina em:","Savaş bitmesine kalan:","戦闘終了まで：","离战斗结束还有：","남은 시간:","Конец сражения через:","تنتهي المعركة بعد:","離戰鬥結束剩下：","نبرد تمام می‌شود در:","Pertempuran berakhir dalam:","Pertempuran tamat dalam:","Matatapos ang laban pagkalipas ng:","Trận chiến kết thúc trong vòng:"
"TID_POPUP_HEADER_WARNING","Warning!","Attention !","Achtung!","¡Cuidado!","Attenzione!","Waarschuwing!","Advarsel!","Atenção!","Uyarı!","警告！","警告！","경고!","Внимание!","تحذير!","警告!","هشدار!","Peringatan!","Amaran!","Babala!","Cảnh báo!"
"TID_POPUP_UNDER_ATTACK","You are under attack! Please wait, your village will load automatically.","On vous attaque ! Veuillez patienter pendant le chargement automatique de votre village.","Du wirst angegriffen! Warte kurz, dein Dorf wird automatisch geladen.","¡Te están atacando! Espera, tu aldea se cargará automáticamente.","Sei sotto attacco! Attendi, il tuo villaggio si caricherà automaticamente.","Je wordt aangevallen! Een ogenblikje geduld, je dorp wordt automatisch geladen.","Du blir angrepet! Vent litt, landsbyen lastes automatisk.","Você está sob ataque! Aguarde, sua vila será carregada automaticamente.","Saldırıya uğradın! Lütfen bekle, köyün otomatik olarak yüklenecek.","攻撃を受けています！\n村が自動的にロードされるまで少しお待ちください。","您的村庄正在遭受攻击！请稍等。","공격받고 있습니다! 잠시 후 마을을 확인할 수 있습니다.","На вас напали! Подождите, ваша деревня загрузится автоматически.","أنت تتعرض للهجوم! يُرجى الانتظار، سيتم تحميل قريتك تلقائيًا.","您遭到攻擊了！您稍候才能回到村莊。","شما مورد حمله قرار گرفته‌اید! لطفاً منتظر بمانید، دهکده‌تان به طور خودکار بارگذاری خواهد شد.","Kamu sedang diserang! Harap tunggu, desa akan dimuat secara otomatis.","Anda diserang! Sila tunggu, kampung anda akan dimuatkan secara automatik.","May umaatake sa iyo! Hintay ka lang sandali, automatic na maglo-load ang village mo.","Bạn đang bị tấn công! Đợi đã, làng của bạn sẽ tự động tải về."
"TID_POPUP_TRY_AGAIN","Estimated time left:","Temps restant estimé :","Geschätzte Restzeit:","Tiempo restante estimado:","Tempo restante stimato:","Resterende tijd:","Anslått tid igjen:","Tempo restante estimado:","Kalan tahmini süre:","待ち時間：","预计等待时间：","예상 대기 시간:","Примерно осталось времени:","الوقت المقدر المتبقي:","預估剩餘時間：","زمان باقیمانده تخمینی:","Perkiraan sisa waktu:","Baki masa yang dianggarkan:","Natitirang oras ayon sa tantya:","Thời gian còn lại ước tính:"
"TID_BUTTON_OKAY","Okay","OK","Okay","Vale","OK","Oké","OK","Ok","Tamam","OK","确定","확인","Окей","حسنًا","確定","تأیید","Oke","Okey","Okay","Okay"
"TID_POPUP_TRAIN_TITLE","Train troops <limit>","Former des troupes <limit>","Truppen ausbilden: <limit>","Entrenar tropas <limit>","Addestra truppe <limit>","Train troepen: <limit>","Tren tropper <limit>","Treinar Tropas <limit>","<limit> Birlik eğit","ユニットの訓練 <limit>","训练军队<limit>","유닛 훈련 <limit>","Тренировка войск <limit>","تدريب القوات <limit>","訓練部隊 <limit>","<limit> آموزش نیروها","Latih peleton <limit>","Latih askar <limit>","Mag-train ng mga troop <limit>","Huấn luyện binh lính <limit>"
"TID_INVALID_PLACEMENT","You cannot deploy troops on the red area!","Impossible de déployer des troupes dans la zone rouge !","Du kannst im roten Gebiet keine Truppen einsetzen!","No puedes desplegar tropas en la zona roja.","Non puoi schierare truppe nella zona rossa!","Je kunt geen troepen in het rode gebied inzetten!","Du kan ikke utplassere soldater i det røde området.","Você não pode mobilizar tropas na área vermelha!","Birliklerini kırmızı alana konuşlandıramazsın!","赤いエリアにはユニットを配置できません。","您不能在红线范围内派遣部队！","빨간색 지역에는 병력을 배치할 수 없습니다!","Вы не можете развернуть войска в красной зоне!","لا يمكنك نشر القوات في المنطقة الحمراء!","您無法在紅線區域內裡派遣部隊！","شما می‌توانید نیروها را روی منطقه قرمز مستقر کنید!","Tidak bisa mengerahkan peleton di area merah!","Anda tidak boleh mengerahkan askar di kawasan merah!","Hindi ka pwedeng mag-deploy ng mga troop sa pulang area!","Bạn không thể triển khai binh bính trong khu vực màu đỏ!"
"TID_ALL_TROOPS_USED","All forces deployed","Toutes les forces sont déployées.","Alle Truppen eingesetzt","¡Todas las unidades desplegadas!","Tutte le forze schierate","Alle eenheden zijn ingezet","Alle styrker utplassert","Todas as forças mobilizadas","Tüm kuvvetler konuşlandı","全ユニット出撃済み","已经派出所有兵力","유닛을 모두 투입했습니다.","Все войска отправлены","تم نشر جميع القوات","已佈署所有兵力","همه نیروها به کار گرفته شدند","Semua pasukan dikerahkan","Semua tentera dikerahkan","Na-deploy na ang lahat ng unit","Đã triển khai toàn bộ lực lượng"
"TID_OTHER_TROOP_LEFT","Select a different unit","Sélectionnez une autre unité","Wähle eine andere Einheit","Selecciona una unidad diferente.","Seleziona un'altra unità","Kies een andere eenheid","Velg en annen enhet","Selecione outra unidade","Farklı bir birim seç","別のユニットを選択してください","该兵种已用完，请选择其他兵种","다른 유닛을 선택하세요.","Выберите другое подразделение","تحديد وحدة مختلفة","該兵種已用完，請選取其他單位","انتخاب یک واحد دیگر","Pilih unit lain","Pilih unit berlainan","Pumili ng ibang unit","Chọn một đơn vị khác"
"TID_DIAMONDS","Gems","Gemmes","Juwelen","Gemas","Gemme","Edelstenen","Juveler","Gemas","Taş","エメラルド","宝石","보석","Кристаллы","جواهر","寶石","جواهر","Permata","Permata","Mga Gem","Ngọc"
"TID_GOLD","Gold","Or","Gold","Oro","Oro","Goud","Gull","Ouro","Altın","ゴールド","金币","골드","Золото","ذهب","金幣","طلا","Emas","Emas","Gold","Vàng"
"TID_ELIXIR","Elixir","Élixir","Elixier","Elixir","Elisir","Elixir","Eliksir","Elixir","İksir","エリクサー","圣水","엘릭서","Эликсир","إكسير","聖水","اکسیر","Eliksir","Eliksir","Elixir","Tiên dược"
"TID_ITEM_LEVEL","<item> (Level <number>)","<item> (niveau <number>)","<item> (Level <number>)","<item> (nivel <number>)","<item> (livello <number>)","<item> (level <number>)","<item> (nivå <number>)","<item> (Nível <number>)","<item> (<number>. seviye)","<item> （レベル <number>）","<item>（等级<number>）","<item>(레벨 <number>)","<item> (уровень <number>)","<item> (المستوى <number>)","<item>(等級<number>)","<item> (سطح <number>)","<item> (Level <number>)","<item> (Tahap <number>)","<item> (Level <number>)","<item> (Cấp <number>)"
"TID_SHOP_TITLE","Shop","Magasin","Shop","Tienda","Negozio","Winkel","Butikk","Loja","Dükkan","ショップ","商店","상점","Магазин","المتجر","商店","فروشگاه","Toko","Kedai","Shop","Cửa hàng"
"TID_ITEM_BROKEN","<item> (Broken)","<item> (cassé)","<item> (kaputt)","<item> (en ruinas)","<item> (distrutto)","<item> (stuk)","<item> (ødelagt)","<item> (Quebrado)","<item> (Yıkılmış)","<item> （破壊）","<item>（损坏）","<item>(잔해)","<item> (разрушено)","<item> (مكسور)","<item>(已損壞)","<item> (خراب)","<item> (Rusak)","<item> (Dipecahkan)","<item> (Sira)","<item> (Bị hỏng)"
"TID_BUILDING_ARCHER_TOWER","Archer Tower","Tour d'archers","Bogenschützenturm","Torre de arqueras","Torre dell'arciere","Boogschuttertoren","Bueskyttertårn","Torre Arqueira","Okçu Kulesi","アーチャータワー","箭塔","아처 타워","Башня Лучниц","برج رامي السهام","箭塔","برج کماندار","Menara Pemanah","Menara Pemanah","Archer Tower","Tháp Cung thủ"
"TID_BUILDING_CLASS_ARMY","Army Buildings","Bâtiments militaires","Armeegebäude","Ejército","Edifici dell'esercito","Legers","Militærbygninger","Construções do Exército","Askeri Binalar","軍事関連","军队建筑","군사 시설","Военные Здания","مباني الجيش","軍事建築物","سازه های نظامی","Bangunan Tentara","Bangunan Tentera","Mga Army Building","Nhà Quân đội"
"TID_BUILDING_CLASS_DEFENSE","Defenses","Défenses","Verteidigung","Defensas","Difese","Verdedigingswerken","Forsvar","Defesas","Savunma","防衛設備","防御设施","방어 시설","Защита","الدفاعات","防禦設施","پدافند","Pertahanan","Pertahanan","Mga Depensa","Phòng thủ"
"TID_BUILDING_CLASS_RESOURCE","Resources","Ressources","Ressourcen","Recursos","Risorse","Grondstoffen","Ressurser","Recursos","Kaynaklar","資源","资源","자원 시설","Ресурсы","الموارد","資源","منابع","Sumber Daya","Sumber","Mga Resource","Tài nguyên"
"TID_BUILDING_CLASS_WALL","Walls","Remparts","Mauern","Muros","Mura","Muren","Murer","Muros","Duvarlar","壁","城墙","장벽","Стены","الجدران","城牆","دیوارها","Tembok","Benteng","Mga Wall","Tường thành"
"TID_NOT_ENOUGH_WORKERS_HEADER","All builders are busy!","Tous les ouvriers sont occupés !","Alle Bauarbeiter sind beschäftigt!","¡No hay constructores libres!","Tutti i costruttori sono occupati!","Alle bouwvakkers zijn bezig!","Alle byggerne er opptatt!","Todos os construtores estão ocupados!","Tüm inşaatçılar meşgul!","大工さんは全員仕事中","所有建筑工人都很忙！","장인이 모자랍니다!","Все строители заняты!","جميع البنائين مشغولون!","所有建築工都在忙碌中！","همه سازندگان مشغول هستند!","Semua tukang sedang sibuk!","Semua pembina sibuk!","Busy ang lahat ng builder!","Tất cả thợ xây đều đang bận!"
"TID_NOT_ENOUGH_WORKERS_TEXT","Complete the previous building and free up a builder?","Terminer le bâtiment précédent pour libérer un ouvrier ?","Vorheriges Gebäude fertigstellen und einen Bauarbeiter freimachen?","¿Quieres terminar la tarea anterior para liberar a un constructor?","Vuoi completare l'incarico precedente e liberare un costruttore?","De vorige taak voltooien en een bouwvakker vrij maken?","Fullføre den forrige bygningen og frigjøre en bygger?","Completar a construção anterior e liberar um construtor?","Önceki binayı tamamlayıp bir inşaatçıyı boşa çıkar?","建設中の建物を今すぐ完成させて、\n大工をこちらにまわしますか？","立刻完成一个建筑以空出一个建筑工人吗？","진행 중인 건설을 즉시 완료하고 장인을 불러올까요?","Завершить предыдущее строение, чтобы строитель освободился?","إكمال المبنى السابق وتوفير أحد البنائين؟","要立即完成上一座建築物並空出一個建築工嗎？","سازه قبلی را کامل و یک سازنده رها می‌کنید؟","Selesaikan bangunan sebelumnya dan bebaskan seorang tukang?","Lengkapkan bangunan sebelumnya dan berikan masa terluang kepada pembina?","Tapusin ang nakaraang building para mabakante ang isang builder?","Bạn có muốn hoàn thành tòa nhà trước đó để một thợ xây được rảnh tay không?"
